city,date,pm2_5,pm10,ozone,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,AQI,temperature_2m,humidity,wind_speed,precipitation
Thiruvananthapuram,2025-06-05,16.008333333333333,36.19583333333333,60.833333333333336,4.029166666666667,2.4083333333333337,136.875,60.833333333333336,27.40833333333333,85.83333333333333,13.675,0.0125
Thiruvananthapuram,2025-06-06,20.291666666666668,54.4125,64.25,3.875,2.2541666666666664,199.04166666666666,64.7625,27.575,83.04166666666667,14.0125,0.025
Thiruvananthapuram,2025-06-07,17.25,46.15833333333334,61.75,3.4291666666666667,2.1416666666666666,159.125,61.84583333333334,27.020833333333332,84.375,14.379166666666666,0.020833333333333332
Thiruvananthapuram,2025-06-08,14.1375,36.204166666666666,60.291666666666664,3.2041666666666666,1.9666666666666666,147.20833333333334,60.291666666666664,27.2375,82.29166666666667,15.879166666666665,0.02916666666666667
Thiruvananthapuram,2025-06-09,10.3,21.491666666666667,56.416666666666664,3.0625,1.945833333333333,146.625,56.416666666666664,26.679166666666667,84.83333333333333,17.054166666666667,0.0
Thiruvananthapuram,2025-06-10,6.85,12.6625,53.708333333333336,2.475,1.2125,113.5,53.708333333333336,26.054166666666667,89.0,16.0125,0.475
Thiruvananthapuram,2025-06-11,8.8375,18.679166666666667,62.125,2.075,1.0250000000000001,127.79166666666667,62.125,25.041666666666668,93.54166666666667,15.020833333333334,0.8916666666666666
Thiruvananthapuram,2025-06-12,10.279166666666667,21.40833333333333,57.916666666666664,2.0583333333333336,1.1833333333333333,140.70833333333334,57.916666666666664,25.575,90.08333333333333,16.2375,0.35000000000000003
Thiruvananthapuram,2025-06-13,7.145833333333333,12.854166666666666,58.5,1.5708333333333333,0.6,109.29166666666667,58.5,25.59166666666667,91.375,18.8125,1.4208333333333332
Thiruvananthapuram,2025-06-14,5.9,10.416666666666666,56.541666666666664,1.7875,0.6291666666666667,141.75,56.541666666666664,24.79583333333333,94.91666666666667,15.804166666666665,2.1916666666666664
Thiruvananthapuram,2025-06-15,5.333333333333333,9.1,52.125,1.7708333333333333,0.5291666666666667,120.70833333333333,52.125,25.004166666666666,93.75,16.53333333333333,1.2833333333333332
Thiruvananthapuram,2025-06-16,8.616666666666665,14.995833333333335,64.41666666666667,1.8125,0.7666666666666666,105.375,64.41666666666667,25.854166666666668,90.29166666666667,16.804166666666667,0.6916666666666667
Thiruvananthapuram,2025-06-17,10.029166666666667,17.116666666666667,59.166666666666664,2.2833333333333337,1.0541666666666667,126.0,59.166666666666664,25.729166666666668,90.0,13.079166666666666,0.6708333333333334
Thiruvananthapuram,2025-06-18,10.554166666666665,17.5,54.708333333333336,3.65,2.0833333333333335,160.875,54.708333333333336,26.145833333333332,88.29166666666667,12.445833333333335,0.11666666666666668
Thiruvananthapuram,2025-06-19,8.8625,15.395833333333334,57.291666666666664,3.0958333333333337,1.7333333333333332,133.33333333333334,57.291666666666664,26.120833333333334,88.95833333333333,13.529166666666667,0.12916666666666665
Thiruvananthapuram,2025-06-20,11.008333333333335,19.84166666666667,56.625,3.3708333333333336,1.945833333333333,139.45833333333334,56.625,26.241666666666667,88.20833333333333,13.9125,0.17083333333333334
Thiruvananthapuram,2025-06-21,9.666666666666666,16.041666666666668,52.333333333333336,3.475,2.0208333333333335,144.625,52.333333333333336,26.058333333333334,87.875,15.945833333333335,0.09583333333333333
Thiruvananthapuram,2025-06-22,9.770833333333334,16.116666666666667,49.458333333333336,3.5708333333333333,2.075,161.625,49.458333333333336,25.60833333333333,88.625,14.2875,0.3041666666666667
Thiruvananthapuram,2025-06-23,8.858333333333334,16.15416666666667,49.083333333333336,2.9541666666666666,1.5083333333333333,137.33333333333334,49.083333333333336,25.620833333333334,89.91666666666667,14.275,0.125
Thiruvananthapuram,2025-06-24,9.620833333333334,18.325,39.5,2.4083333333333337,1.125,117.29166666666667,39.5,26.32916666666667,89.625,15.020833333333334,0.48750000000000004
Thiruvananthapuram,2025-06-25,9.845833333333333,21.8,38.791666666666664,2.2833333333333337,1.1416666666666668,139.29166666666666,38.791666666666664,24.854166666666668,92.79166666666667,10.970833333333333,1.0
Thiruvananthapuram,2025-06-26,9.120833333333334,21.629166666666666,45.041666666666664,2.6,1.2041666666666668,154.08333333333334,45.041666666666664,24.645833333333332,93.625,11.120833333333334,0.55
Thiruvananthapuram,2025-06-27,9.2625,18.95,55.75,2.7833333333333337,1.7375,143.20833333333334,55.75,26.0125,88.16666666666667,16.9,0.09583333333333334
Thiruvananthapuram,2025-06-28,8.775,18.208333333333332,55.458333333333336,2.8125,1.5416666666666667,134.95833333333334,55.458333333333336,25.6125,89.33333333333333,14.4,0.3833333333333333
Thiruvananthapuram,2025-06-29,9.2875,16.4375,56.5,3.9083333333333337,2.4125,194.5,56.5,26.104166666666668,86.16666666666667,15.054166666666665,0.07916666666666666
Thiruvananthapuram,2025-06-30,10.745833333333334,18.775,54.875,3.5416666666666665,2.2125,167.79166666666666,54.875,26.90833333333333,85.125,18.225,0.020833333333333332
Thiruvananthapuram,2025-07-01,10.7625,19.78333333333333,58.125,3.3916666666666666,2.0541666666666667,146.08333333333334,58.125,26.2125,86.875,14.341666666666667,0.07083333333333333
Thiruvananthapuram,2025-07-02,8.908333333333333,17.020833333333332,52.541666666666664,3.5666666666666664,1.9583333333333333,141.875,52.541666666666664,25.4875,89.54166666666667,15.308333333333335,0.12916666666666665
Thiruvananthapuram,2025-07-03,8.204166666666666,15.475000000000001,48.541666666666664,3.754166666666667,2.0416666666666665,158.66666666666666,48.541666666666664,26.225,87.08333333333333,14.929166666666665,0.03333333333333334
Thiruvananthapuram,2025-07-04,10.15,18.054166666666667,50.833333333333336,3.8416666666666663,2.3208333333333333,151.95833333333334,50.833333333333336,26.479166666666668,86.16666666666667,14.258333333333335,0.07083333333333333
Thiruvananthapuram,2025-07-05,9.745833333333334,17.325,46.791666666666664,3.6291666666666664,2.1541666666666663,134.20833333333334,46.791666666666664,26.575,85.33333333333333,16.945833333333333,0.05
Thiruvananthapuram,2025-07-06,9.9875,18.833333333333332,41.458333333333336,2.7208333333333337,1.6041666666666667,111.66666666666667,41.458333333333336,26.7875,85.25,17.0625,0.1125
Thiruvananthapuram,2025-07-07,11.4125,23.15416666666667,47.958333333333336,2.6458333333333335,1.6375,130.83333333333334,47.958333333333336,26.6375,84.91666666666667,16.82916666666667,0.0625
Thiruvananthapuram,2025-07-08,13.4,27.34583333333333,56.25,3.1916666666666664,2.0041666666666664,126.91666666666667,56.25,27.075,84.58333333333333,19.47083333333333,0.06666666666666668
Thiruvananthapuram,2025-07-09,12.708333333333334,26.129166666666666,51.791666666666664,3.2458333333333336,2.075,134.625,51.791666666666664,26.975,83.5,20.47083333333333,0.020833333333333332
Thiruvananthapuram,2025-07-10,11.254166666666666,20.525,48.666666666666664,3.654166666666667,2.375,134.04166666666666,48.666666666666664,26.695833333333333,83.20833333333333,19.53333333333333,0.03333333333333334
